"lexeme","lexinfoPos","oliaPos","lemma","forms"
"http://llod.jerteh.rs/id/SMD/le_pisma_238557","http://www.lexinfo.net/ontology/2.0/lexinfo#commonNoun","http://purl.org/olia/olia.owl#CommonNoun","писма","писма@http://llod.jerteh.rs/id/SMD/fm_pisma_5037938|писмама@http://llod.jerteh.rs/id/SMD/fm_pismama_5037939|писме@http://llod.jerteh.rs/id/SMD/fm_pisme_5037940|писми@http://llod.jerteh.rs/id/SMD/fm_pismi_5037941|писмо@http://llod.jerteh.rs/id/SMD/fm_pismo_5037942|писмом@http://llod.jerteh.rs/id/SMD/fm_pismom_5037943|писму@http://llod.jerteh.rs/id/SMD/fm_pismu_5037944"
"http://llod.jerteh.rs/id/SMD/le_nikako_93506","http://www.lexinfo.net/ontology/2.0/lexinfo#adverb","http://purl.org/olia/olia.owl#Adverb","никако","никако@http://llod.jerteh.rs/id/SMD/fm_nikako_4901662"
"http://llod.jerteh.rs/id/SMD/le_plakati_57067","http://www.lexinfo.net/ontology/2.0/lexinfo#verb","http://purl.org/olia/olia.owl#Verb","плакати","плаче@http://llod.jerteh.rs/id/SMD/fm_placye_3927658|плачем@http://llod.jerteh.rs/id/SMD/fm_placyem_3927659|плачемо@http://llod.jerteh.rs/id/SMD/fm_placyemo_3927660|плачеш@http://llod.jerteh.rs/id/SMD/fm_placyesx_3927661|плачете@http://llod.jerteh.rs/id/SMD/fm_placyete_3927662|плачи@http://llod.jerteh.rs/id/SMD/fm_placyi_3927663|плачимо@http://llod.jerteh.rs/id/SMD/fm_placyimo_3927664|плачите@http://llod.jerteh.rs/id/SMD/fm_placyite_3927665|плачу@http://llod.jerteh.rs/id/SMD/fm_placyu_3927666|плачући@http://llod.jerteh.rs/id/SMD/fm_placyucxi_3927667|плака@http://llod.jerteh.rs/id/SMD/fm_plaka_3927668|плакаће@http://llod.jerteh.rs/id/SMD/fm_plakacxe_3927669|плакаћемо@http://llod.jerteh.rs/id/SMD/fm_plakacxemo_3927670|плакаћеш@http://llod.jerteh.rs/id/SMD/fm_plakacxesx_3927671|плакаћете@http://llod.jerteh.rs/id/SMD/fm_plakacxete_3927672|плакаћу@http://llod.jerteh.rs/id/SMD/fm_plakacxu_3927673|плаках@http://llod.jerteh.rs/id/SMD/fm_plakah_3927674|плакаху@http://llod.jerteh.rs/id/SMD/fm_plakahu_3927675|плакала@http://llod.jerteh.rs/id/SMD/fm_plakala_3927676|плакале@http://llod.jerteh.rs/id/SMD/fm_plakale_3927677|плакали@http://llod.jerteh.rs/id/SMD/fm_plakali_3927678|плакало@http://llod.jerteh.rs/id/SMD/fm_plakalo_3927679|плакан@http://llod.jerteh.rs/id/SMD/fm_plakan_3927680|плакана@http://llod.jerteh.rs/id/SMD/fm_plakana_3927681|плакане@http://llod.jerteh.rs/id/SMD/fm_plakane_3927682|плакани@http://llod.jerteh.rs/id/SMD/fm_plakani_3927683|плакано@http://llod.jerteh.rs/id/SMD/fm_plakano_3927684|плакао@http://llod.jerteh.rs/id/SMD/fm_plakao_3927685|плакасмо@http://llod.jerteh.rs/id/SMD/fm_plakasmo_3927686|плакасте@http://llod.jerteh.rs/id/SMD/fm_plakaste_3927687|плакаше@http://llod.jerteh.rs/id/SMD/fm_plakasxe_3927688|плакати@http://llod.jerteh.rs/id/SMD/fm_plakati_3927689"
"http://llod.jerteh.rs/id/SMD/le_tri_7238","http://www.lexinfo.net/ontology/2.0/lexinfo#number","http://purl.org/olia/olia.owl#Numeral","три","трију@http://llod.jerteh.rs/id/SMD/fm_triju_5891145|трима@http://llod.jerteh.rs/id/SMD/fm_trima_5891146"
"http://llod.jerteh.rs/id/SMD/le_pocxi_57193","http://www.lexinfo.net/ontology/2.0/lexinfo#verb","http://purl.org/olia/olia.owl#Verb","поћи","поћи@http://llod.jerteh.rs/id/SMD/fm_pocxi_3931227|пође@http://llod.jerteh.rs/id/SMD/fm_podxe_3931228|пођем@http://llod.jerteh.rs/id/SMD/fm_podxem_3931229|пођемо@http://llod.jerteh.rs/id/SMD/fm_podxemo_3931230|пођеш@http://llod.jerteh.rs/id/SMD/fm_podxesx_3931231|пођете@http://llod.jerteh.rs/id/SMD/fm_podxete_3931232|пођи@http://llod.jerteh.rs/id/SMD/fm_podxi_3931233|пођимо@http://llod.jerteh.rs/id/SMD/fm_podximo_3931234|пођите@http://llod.jerteh.rs/id/SMD/fm_podxite_3931235|пођох@http://llod.jerteh.rs/id/SMD/fm_podxoh_3931236|пођосмо@http://llod.jerteh.rs/id/SMD/fm_podxosmo_3931237|пођосте@http://llod.jerteh.rs/id/SMD/fm_podxoste_3931238|пођоше@http://llod.jerteh.rs/id/SMD/fm_podxosxe_3931239|пођу@http://llod.jerteh.rs/id/SMD/fm_podxu_3931240|пошао@http://llod.jerteh.rs/id/SMD/fm_posxao_3931241|пошав@http://llod.jerteh.rs/id/SMD/fm_posxav_3931242|пошавши@http://llod.jerteh.rs/id/SMD/fm_posxavsxi_3931243|пошла@http://llod.jerteh.rs/id/SMD/fm_posxla_3931244|пошле@http://llod.jerteh.rs/id/SMD/fm_posxle_3931245|пошли@http://llod.jerteh.rs/id/SMD/fm_posxli_3931246|пошло@http://llod.jerteh.rs/id/SMD/fm_posxlo_3931247"
"http://llod.jerteh.rs/id/SMD/le_stati_61765","http://www.lexinfo.net/ontology/2.0/lexinfo#verb","http://purl.org/olia/olia.owl#Verb","стати","ста@http://llod.jerteh.rs/id/SMD/fm_sta_4064799|стаће@http://llod.jerteh.rs/id/SMD/fm_stacxe_4064800|стаћемо@http://llod.jerteh.rs/id/SMD/fm_stacxemo_4064801|стаћеш@http://llod.jerteh.rs/id/SMD/fm_stacxesx_4064802|стаћете@http://llod.jerteh.rs/id/SMD/fm_stacxete_4064803|стаћу@http://llod.jerteh.rs/id/SMD/fm_stacxu_4064804|стаде@http://llod.jerteh.rs/id/SMD/fm_stade_4064805|стадох@http://llod.jerteh.rs/id/SMD/fm_stadoh_4064806|стадосмо@http://llod.jerteh.rs/id/SMD/fm_stadosmo_4064807|стадосте@http://llod.jerteh.rs/id/SMD/fm_stadoste_4064808|стадоше@http://llod.jerteh.rs/id/SMD/fm_stadosxe_4064809|стах@http://llod.jerteh.rs/id/SMD/fm_stah_4064810|стала@http://llod.jerteh.rs/id/SMD/fm_stala_4064811|стале@http://llod.jerteh.rs/id/SMD/fm_stale_4064812|стали@http://llod.jerteh.rs/id/SMD/fm_stali_4064813|стало@http://llod.jerteh.rs/id/SMD/fm_stalo_4064814|стане@http://llod.jerteh.rs/id/SMD/fm_stane_4064815|станем@http://llod.jerteh.rs/id/SMD/fm_stanem_4064816|станемо@http://llod.jerteh.rs/id/SMD/fm_stanemo_4064817|станеш@http://llod.jerteh.rs/id/SMD/fm_stanesx_4064818|станете@http://llod.jerteh.rs/id/SMD/fm_stanete_4064819|стани@http://llod.jerteh.rs/id/SMD/fm_stani_4064820|станимо@http://llod.jerteh.rs/id/SMD/fm_stanimo_4064821|станите@http://llod.jerteh.rs/id/SMD/fm_stanite_4064822|стану@http://llod.jerteh.rs/id/SMD/fm_stanu_4064823|стао@http://llod.jerteh.rs/id/SMD/fm_stao_4064824|стасмо@http://llod.jerteh.rs/id/SMD/fm_stasmo_4064825|стасте@http://llod.jerteh.rs/id/SMD/fm_staste_4064826|сташе@http://llod.jerteh.rs/id/SMD/fm_stasxe_4064827|стати@http://llod.jerteh.rs/id/SMD/fm_stati_4064828|ставши@http://llod.jerteh.rs/id/SMD/fm_stavsxi_4064829"
"http://llod.jerteh.rs/id/SMD/le_kraj_19207","http://www.lexinfo.net/ontology/2.0/lexinfo#commonNoun","http://purl.org/olia/olia.owl#CommonNoun","крај","крај@http://llod.jerteh.rs/id/SMD/fm_kraj_4458224|краја@http://llod.jerteh.rs/id/SMD/fm_kraja_4458225|краје@http://llod.jerteh.rs/id/SMD/fm_kraje_4458226|крајем@http://llod.jerteh.rs/id/SMD/fm_krajem_4458227|крајева@http://llod.jerteh.rs/id/SMD/fm_krajeva_4458228|крајеве@http://llod.jerteh.rs/id/SMD/fm_krajeve_4458229|крајеви@http://llod.jerteh.rs/id/SMD/fm_krajevi_4458230|крајевима@http://llod.jerteh.rs/id/SMD/fm_krajevima_4458231|крају@http://llod.jerteh.rs/id/SMD/fm_kraju_4458232"
"http://llod.jerteh.rs/id/SMD/le_put_19230","http://www.lexinfo.net/ontology/2.0/lexinfo#commonNoun","http://purl.org/olia/olia.owl#CommonNoun","пут","пут@http://llod.jerteh.rs/id/SMD/fm_put_4458432|пута@http://llod.jerteh.rs/id/SMD/fm_puta_4458433|путе@http://llod.jerteh.rs/id/SMD/fm_pute_4458434|путем@http://llod.jerteh.rs/id/SMD/fm_putem_4458435|путева@http://llod.jerteh.rs/id/SMD/fm_puteva_4458436|путеве@http://llod.jerteh.rs/id/SMD/fm_puteve_4458437|путеви@http://llod.jerteh.rs/id/SMD/fm_putevi_4458438|путевима@http://llod.jerteh.rs/id/SMD/fm_putevima_4458439|путом@http://llod.jerteh.rs/id/SMD/fm_putom_4458440|путова@http://llod.jerteh.rs/id/SMD/fm_putova_4458441|путове@http://llod.jerteh.rs/id/SMD/fm_putove_4458442|путови@http://llod.jerteh.rs/id/SMD/fm_putovi_4458443|путовима@http://llod.jerteh.rs/id/SMD/fm_putovima_4458444|путу@http://llod.jerteh.rs/id/SMD/fm_putu_4458445"
"http://llod.jerteh.rs/id/SMD/le_cyiniti_51419","http://www.lexinfo.net/ontology/2.0/lexinfo#verb","http://purl.org/olia/olia.owl#Verb","чинити","чине@http://llod.jerteh.rs/id/SMD/fm_cyine_3762465|чинећи@http://llod.jerteh.rs/id/SMD/fm_cyinecxi_3762466|чини@http://llod.jerteh.rs/id/SMD/fm_cyini_3762467|чиниће@http://llod.jerteh.rs/id/SMD/fm_cyinicxe_3762468|чинићемо@http://llod.jerteh.rs/id/SMD/fm_cyinicxemo_3762469|чинићеш@http://llod.jerteh.rs/id/SMD/fm_cyinicxesx_3762470|чинићете@http://llod.jerteh.rs/id/SMD/fm_cyinicxete_3762471|чинићу@http://llod.jerteh.rs/id/SMD/fm_cyinicxu_3762472|чиних@http://llod.jerteh.rs/id/SMD/fm_cyinih_3762473|чинила@http://llod.jerteh.rs/id/SMD/fm_cyinila_3762474|чиниле@http://llod.jerteh.rs/id/SMD/fm_cyinile_3762475|чинили@http://llod.jerteh.rs/id/SMD/fm_cyinili_3762476|чинило@http://llod.jerteh.rs/id/SMD/fm_cyinilo_3762477|чиним@http://llod.jerteh.rs/id/SMD/fm_cyinim_3762478|чинимо@http://llod.jerteh.rs/id/SMD/fm_cyinimo_3762479|чинио@http://llod.jerteh.rs/id/SMD/fm_cyinio_3762480|чинисмо@http://llod.jerteh.rs/id/SMD/fm_cyinismo_3762481|чинисте@http://llod.jerteh.rs/id/SMD/fm_cyiniste_3762482|чиниш@http://llod.jerteh.rs/id/SMD/fm_cyinisx_3762483|чинише@http://llod.jerteh.rs/id/SMD/fm_cyinisxe_3762484|чините@http://llod.jerteh.rs/id/SMD/fm_cyinite_3762485|чинити@http://llod.jerteh.rs/id/SMD/fm_cyiniti_3762486|чињах@http://llod.jerteh.rs/id/SMD/fm_cyinxah_3762487|чињаху@http://llod.jerteh.rs/id/SMD/fm_cyinxahu_3762488|чињасмо@http://llod.jerteh.rs/id/SMD/fm_cyinxasmo_3762489|чињасте@http://llod.jerteh.rs/id/SMD/fm_cyinxaste_3762490|чињаше@http://llod.jerteh.rs/id/SMD/fm_cyinxasxe_3762491|чињен@http://llod.jerteh.rs/id/SMD/fm_cyinxen_3762492|чињена@http://llod.jerteh.rs/id/SMD/fm_cyinxena_3762493|чињене@http://llod.jerteh.rs/id/SMD/fm_cyinxene_3762494|чињени@http://llod.jerteh.rs/id/SMD/fm_cyinxeni_3762495|чињено@http://llod.jerteh.rs/id/SMD/fm_cyinxeno_3762496"
"http://llod.jerteh.rs/id/SMD/le_Jelica_107357","http://www.lexinfo.net/ontology/2.0/lexinfo#ProperNoun","http://purl.org/olia/olia.owl#ProperNoun","Јелица","Јелица@http://llod.jerteh.rs/id/SMD/fm_Jelica_4687143|Јелице@http://llod.jerteh.rs/id/SMD/fm_Jelice_4687144|Јелици@http://llod.jerteh.rs/id/SMD/fm_Jelici_4687145|Јелицом@http://llod.jerteh.rs/id/SMD/fm_Jelicom_4687146|Јелицу@http://llod.jerteh.rs/id/SMD/fm_Jelicu_4687147"
